team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Angel City FC,Megan Dougherty Howard,MEGANDOUGHERTY HOWARD,MIDFIELDER,6,5,414,0,77,0,10,7,0,6,6,11,0,0,0,133,173,3,0,4,129,58,0,0,0,0,70,3,100,0,6,75,4,4,,,
Orlando Pride,Julie Doyle,JULIEDOYLE,MIDFIELDER,11,9,658,1,79,1,11,5,1,7,7,10,0,1,0,152,193,3,0.14,5,144,96,0.14,0,0,0,45,6,50,2,7,64,1,16,,,
Orlando Pride,Evelina Duljan,EVELINADULJAN,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NJ/NY Gotham FC,Crystal Dunn,CRYSTALDUNN,MIDFIELDER,10,4,446,0,78,0,6,3,0,12,5,8,3,1,0,120,153,3,0,0,116,88,0,0,0,0,50,4,57,0,12,71,4,13,,,
Bay FC,Caprice Dydasco,CAPRICEDYDASCO,DEFENDER,10,9,833,0,83,0,1,0,0,14,7,2,0,0,0,371,446,3,0,15,349,144,0,0,0,0,0,15,62,0,14,64,18,17,,,
Orlando Pride,Cori Dyke,CORIDYKE,MIDFIELDER,6,,133,0,71,0,0,0,0,2,0,0,0,0,0,35,49,3,0,0,35,21,0,0,0,0,0,0,0,0,2,100,1,2,,,
Angel City FC,Elizabeth Eddy,ELIZABETHEDDY,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
NJ/NY Gotham FC,Kristen Edmonds,KRISTENEDMONDS,DEFENDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angel City FC,Claire Emslie,CLAIREEMSLIE,FORWARD,10,10,796,5,77,2,11,10,2,6,9,14,1,2,0,142,185,3,0.23,6,128,184,0.57,2,2,100,91,7,26,7,6,67,3,10,,,
San Diego Wave FC,Sierra Enge,SIERRAENGE,DEFENDER,1,1,90,0,70,0,0,0,0,0,0,0,0,0,0,23,33,3,0,3,20,11,0,0,0,0,0,0,0,0,0,0,0,1,,,
Racing Louisville FC,Abby Erceg,ABBYERCEG,DEFENDER,10,10,900,0,89,1,2,1,1,7,2,1,1,0,0,445,502,3,0.1,22,423,81,0,0,0,0,50,0,0,1,7,47,6,15,,,
NJ/NY Gotham FC,Sinead Farrelly,SINEADFARRELLY,MIDFIELDER,1,,1,0,78,0,0,0,0,0,1,0,0,0,0,7,9,3,0,0,7,3,0,0,0,0,0,1,100,0,0,0,0,0,,,
Kansas City Current,Bayley Feist,BAYLEYFEIST,MIDFIELDER,6,5,389,1,75,0,10,4,0,10,6,4,0,0,0,138,183,3,0,6,131,66,0.23,0,0,0,40,9,90,1,10,53,5,13,,,
Racing Louisville FC,Kayla Fischer,KAYLAFISCHER,MIDFIELDER,10,6,508,0,72,0,7,4,0,13,26,21,3,5,0,93,130,3,0,7,84,106,0,0,0,0,57,19,56,0,13,68,8,8,,,
Seattle Reign,Jess Fishlock,JESSFISHLOCK,MIDFIELDER,10,9,822,0,76,3,7,4,3,9,7,16,1,0,0,276,363,3,0.33,10,264,127,0,0,0,0,57,6,55,3,9,56,10,15,,,
Portland Thorns,Jessie Fleming,JESSIEFLEMING,MIDFIELDER,10,8,597,0,82,1,6,2,1,13,8,4,1,1,0,218,265,3,0.15,7,211,76,0,0,0,0,33,5,36,1,13,48,4,11,,,
Racing Louisville FC,Taylor Flint,TAYLORFLINT,MIDFIELDER,10,10,900,0,68,0,13,6,0,30,19,12,2,2,0,324,480,3,0,19,305,184,0,0,0,0,46,9,69,0,30,58,39,57,,,
Utah Royals FC,Lauren Flynn,LAURENFLYNN,DEFENDER,6,6,540,0,78,0,1,0,0,10,11,8,0,2,0,242,312,3,0,19,223,74,0,0,0,0,0,3,100,0,10,43,13,9,,,
Utah Royals FC,Dana Foederer,DANAFOEDERER,MIDFIELDER,8,8,701,1,74,1,5,3,1,10,10,4,1,3,0,142,192,3,0.13,6,136,81,0.13,0,0,0,60,1,14,2,10,56,4,15,,,
Kansas City Current,AD Franch,ADFRANCH,GOALKEEPER,10,10,900,0,78,0,0,0,0,0,0,0,0,0,0,104,134,3,0,21,83,32,0,0,0,0,0,0,0,0,0,0,0,3,29,41,13
Chicago Red Stars,Bea Franklin,BEAFRANKLIN,MIDFIELDER,3,,15,0,77,0,0,0,0,2,2,0,0,0,0,17,22,3,0,0,17,6,0,0,0,0,0,0,0,0,2,67,0,6,,,
NJ/NY Gotham FC,Mandy Freeman,MANDYFREEMAN,DEFENDER,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Angel City FC,Kennedy Fuller,KENNEDYFULLER,MIDFIELDER,8,5,502,0,69,0,4,2,0,2,6,15,1,1,0,72,105,3,0,0,71,57,0,0,0,0,50,4,50,0,2,40,4,9,,,
